temperature,rain,time
8.04,0.005,14/03/2018 00:00
7.72,0.105,14/03/2018 03:00
7.65,0.26,14/03/2018 06:00
7.95,0.235,14/03/2018 09:00
8.1,0.475,14/03/2018 12:00
8.2,1.14,14/03/2018 15:00
8.23,1.51,14/03/2018 18:00
8.22,1.365,14/03/2018 21:00
8.45,0.78,15/03/2018 00:00
8.24,2.39,15/03/2018 03:00
7.94,1.09,15/03/2018 06:00
8.08,0.18,15/03/2018 09:00
8.34,0,15/03/2018 12:00
8.12,0.04,15/03/2018 15:00
7.6,0.05,15/03/2018 18:00
7.38,0.09,15/03/2018 21:00
7.21,0.04,16/03/2018 00:00
7.17,0.02,16/03/2018 03:00
7.07,0.59,16/03/2018 06:00
7.58,0.52,16/03/2018 09:00
7.97,0.02,16/03/2018 12:00
7.6,0.16,16/03/2018 15:00
6.6,0.71,16/03/2018 18:00
5.34,1.03,16/03/2018 21:00
4.41,1.105,17/03/2018 00:00
4.1,0.35,17/03/2018 03:00
3.52,0.0875,17/03/2018 06:00
2.97,0.4125,17/03/2018 09:00
3.18,0.275,17/03/2018 12:00
3.27,0.95,17/03/2018 15:00
3.78,0.5375,17/03/2018 18:00
3.8,0.025,17/03/2018 21:00
3.7,0.025,18/03/2018 00:00
3.68,0,18/03/2018 03:00
3.7,0,18/03/2018 06:00
4.08,0.0375,18/03/2018 09:00
4.57,0.0875,18/03/2018 12:00
4.94,0.0125,18/03/2018 15:00
4.8,0,18/03/2018 18:00
4.45,0.025,18/03/2018 21:00
8.04,1.155,14/03/2018 18:00
8.14,1.625,14/03/2018 21:00
8.11,1.73,15/03/2018 00:00
8.0,3.175,15/03/2018 03:00
8.11,3.86,15/03/2018 06:00
8.16,0.14,15/03/2018 09:00
8.13,0.11,15/03/2018 12:00
8.29,0.015,15/03/2018 15:00
8.42,0.015,15/03/2018 18:00
8.19,0.75,15/03/2018 21:00
8.0,0.915,16/03/2018 00:00
7.62,0.04,16/03/2018 03:00
7.35,0,16/03/2018 06:00
7.81,0.03,16/03/2018 09:00
7.91,0.015,16/03/2018 12:00
8.26,0,16/03/2018 15:00
7.88,0.145,16/03/2018 18:00
7.06,1.04,16/03/2018 21:00
7.04,0.08,17/03/2018 00:00
6.76,0.51,17/03/2018 03:00
5.92,0.05,17/03/2018 06:00
5.32,0.03,17/03/2018 09:00
4.77,0.11,17/03/2018 12:00
4.64,0.01,17/03/2018 15:00
