,Station No.,Status,Time,Stands,Bikes Avail,Spaces Avail,Bank,human_readible,weather_tamp,weather_rain,weather_temperature,weather_time
98600,42.0,OPEN,1521067890000,30,8,22,1,14/03/2018 22:51:30,1521072000000.0,0.78,8.45,15/03/2018 00:00
98601,30.0,OPEN,1521067766000,20,20,0,1,14/03/2018 22:49:26,1521072000000.0,0.78,8.45,15/03/2018 00:00
98602,54.0,OPEN,1521067686000,33,2,31,0,14/03/2018 22:48:06,1521072000000.0,0.78,8.45,15/03/2018 00:00
98603,56.0,OPEN,1521067753000,40,7,33,0,14/03/2018 22:49:13,1521072000000.0,0.78,8.45,15/03/2018 00:00
98604,6.0,OPEN,1521067657000,20,6,14,0,14/03/2018 22:47:37,1521072000000.0,0.78,8.45,15/03/2018 00:00
98605,18.0,OPEN,1521067840000,30,6,24,1,14/03/2018 22:50:40,1521072000000.0,0.78,8.45,15/03/2018 00:00
98606,32.0,OPEN,1521067405000,30,0,30,1,14/03/2018 22:43:25,1521072000000.0,0.78,8.45,15/03/2018 00:00
98607,52.0,OPEN,1521067635000,32,5,27,0,14/03/2018 22:47:15,1521072000000.0,0.78,8.45,15/03/2018 00:00
98608,48.0,OPEN,1521067908000,40,10,30,0,14/03/2018 22:51:48,1521072000000.0,0.78,8.45,15/03/2018 00:00
98609,13.0,OPEN,1521067384000,30,0,30,0,14/03/2018 22:43:04,1521072000000.0,0.78,8.45,15/03/2018 00:00
98610,43.0,OPEN,1521067635000,30,20,10,1,14/03/2018 22:47:15,1521072000000.0,0.78,8.45,15/03/2018 00:00
98611,81.0,OPEN,1521067773000,40,37,3,0,14/03/2018 22:49:33,1521072000000.0,0.78,8.45,15/03/2018 00:00
98612,31.0,OPEN,1521067495000,20,4,16,0,14/03/2018 22:44:55,1521072000000.0,0.78,8.45,15/03/2018 00:00
98613,98.0,OPEN,1521067446000,30,1,29,1,14/03/2018 22:44:06,1521072000000.0,0.78,8.45,15/03/2018 00:00
98614,14.0,OPEN,1521067616000,30,10,20,0,14/03/2018 22:46:56,1521072000000.0,0.78,8.45,15/03/2018 00:00
98615,1.0,OPEN,1521067845000,31,7,24,0,14/03/2018 22:50:45,1521072000000.0,0.78,8.45,15/03/2018 00:00
98616,23.0,OPEN,1521067629000,30,5,25,1,14/03/2018 22:47:09,1521072000000.0,0.78,8.45,15/03/2018 00:00
98617,68.0,OPEN,1521067796000,40,3,37,1,14/03/2018 22:49:56,1521072000000.0,0.78,8.45,15/03/2018 00:00
98618,74.0,OPEN,1521067385000,30,24,6,0,14/03/2018 22:43:05,1521072000000.0,0.78,8.45,15/03/2018 00:00
98619,87.0,OPEN,1521067643000,38,18,20,1,14/03/2018 22:47:23,1521072000000.0,0.78,8.45,15/03/2018 00:00
98620,84.0,OPEN,1521067926000,30,16,14,0,14/03/2018 22:52:06,1521072000000.0,0.78,8.45,15/03/2018 00:00
98621,90.0,CLOSED,1521067834000,40,0,0,0,14/03/2018 22:50:34,1521072000000.0,0.78,8.45,15/03/2018 00:00
98622,11.0,OPEN,1521067386000,30,0,30,0,14/03/2018 22:43:06,1521072000000.0,0.78,8.45,15/03/2018 00:00
98623,17.0,OPEN,1521067783000,20,8,12,0,14/03/2018 22:49:43,1521072000000.0,0.78,8.45,15/03/2018 00:00
98624,45.0,OPEN,1521067384000,30,17,13,0,14/03/2018 22:43:04,1521072000000.0,0.78,8.45,15/03/2018 00:00
98625,72.0,OPEN,1521067747000,31,28,3,0,14/03/2018 22:49:07,1521072000000.0,0.78,8.45,15/03/2018 00:00
98626,63.0,OPEN,1521067908000,35,1,34,0,14/03/2018 22:51:48,1521072000000.0,0.78,8.45,15/03/2018 00:00
98627,91.0,OPEN,1521067794000,30,3,27,0,14/03/2018 22:49:54,1521072000000.0,0.78,8.45,15/03/2018 00:00
98628,99.0,OPEN,1521067746000,30,5,25,0,14/03/2018 22:49:06,1521072000000.0,0.78,8.45,15/03/2018 00:00
98629,9.0,OPEN,1521067814000,24,0,24,0,14/03/2018 22:50:14,1521072000000.0,0.78,8.45,15/03/2018 00:00
98630,67.0,OPEN,1521067918000,40,14,26,0,14/03/2018 22:51:58,1521072000000.0,0.78,8.45,15/03/2018 00:00
98631,55.0,OPEN,1521067812000,36,1,35,0,14/03/2018 22:50:12,1521072000000.0,0.78,8.45,15/03/2018 00:00
98632,62.0,OPEN,1521067815000,40,2,38,0,14/03/2018 22:50:15,1521072000000.0,0.78,8.45,15/03/2018 00:00
98633,5.0,OPEN,1521067919000,40,37,3,0,14/03/2018 22:51:59,1521072000000.0,0.78,8.45,15/03/2018 00:00
98634,97.0,OPEN,1521067922000,40,37,3,1,14/03/2018 22:52:02,1521072000000.0,0.78,8.45,15/03/2018 00:00
98635,61.0,OPEN,1521067553000,25,21,4,1,14/03/2018 22:45:53,1521072000000.0,0.78,8.45,15/03/2018 00:00
98636,77.0,OPEN,1521067696000,29,5,24,0,14/03/2018 22:48:16,1521072000000.0,0.78,8.45,15/03/2018 00:00
98637,73.0,OPEN,1521067777000,30,12,18,1,14/03/2018 22:49:37,1521072000000.0,0.78,8.45,15/03/2018 00:00
98638,4.0,OPEN,1521067622000,20,4,16,0,14/03/2018 22:47:02,1521072000000.0,0.78,8.45,15/03/2018 00:00
98639,49.0,OPEN,1521067957000,40,32,8,0,14/03/2018 22:52:37,1521072000000.0,0.78,8.45,15/03/2018 00:00
98640,19.0,OPEN,1521067666000,30,6,24,0,14/03/2018 22:47:46,1521072000000.0,0.78,8.45,15/03/2018 00:00
98641,7.0,OPEN,1521067682000,29,23,6,1,14/03/2018 22:48:02,1521072000000.0,0.78,8.45,15/03/2018 00:00
98642,60.0,OPEN,1521067766000,30,20,10,1,14/03/2018 22:49:26,1521072000000.0,0.78,8.45,15/03/2018 00:00
98643,102.0,OPEN,1521067607000,40,40,0,0,14/03/2018 22:46:47,1521072000000.0,0.78,8.45,15/03/2018 00:00
98644,38.0,OPEN,1521067539000,40,26,14,0,14/03/2018 22:45:39,1521072000000.0,0.78,8.45,15/03/2018 00:00
98645,53.0,OPEN,1521067673000,40,6,34,0,14/03/2018 22:47:53,1521072000000.0,0.78,8.45,15/03/2018 00:00
98646,58.0,OPEN,1521067840000,40,5,35,1,14/03/2018 22:50:40,1521072000000.0,0.78,8.45,15/03/2018 00:00
98647,66.0,OPEN,1521067926000,40,16,24,0,14/03/2018 22:52:06,1521072000000.0,0.78,8.45,15/03/2018 00:00
98648,101.0,OPEN,1521067714000,30,22,8,0,14/03/2018 22:48:34,1521072000000.0,0.78,8.45,15/03/2018 00:00
98649,47.0,OPEN,1521067939000,40,8,32,0,14/03/2018 22:52:19,1521072000000.0,0.78,8.45,15/03/2018 00:00
98650,8.0,OPEN,1521067778000,30,10,20,0,14/03/2018 22:49:38,1521072000000.0,0.78,8.45,15/03/2018 00:00
98651,27.0,OPEN,1521067419000,20,1,19,0,14/03/2018 22:43:39,1521072000000.0,0.78,8.45,15/03/2018 00:00
98652,16.0,OPEN,1521067530000,20,1,19,0,14/03/2018 22:45:30,1521072000000.0,0.78,8.45,15/03/2018 00:00
98653,96.0,OPEN,1521067565000,30,12,18,0,14/03/2018 22:46:05,1521072000000.0,0.78,8.45,15/03/2018 00:00
98654,82.0,OPEN,1521067450000,22,13,9,0,14/03/2018 22:44:10,1521072000000.0,0.78,8.45,15/03/2018 00:00
98655,76.0,OPEN,1521067694000,38,30,8,0,14/03/2018 22:48:14,1521072000000.0,0.78,8.45,15/03/2018 00:00
98656,71.0,OPEN,1521067463000,40,0,40,1,14/03/2018 22:44:23,1521072000000.0,0.78,8.45,15/03/2018 00:00
98657,79.0,OPEN,1521067641000,27,16,11,0,14/03/2018 22:47:21,1521072000000.0,0.78,8.45,15/03/2018 00:00
98658,69.0,OPEN,1521067613000,40,8,32,0,14/03/2018 22:46:53,1521072000000.0,0.78,8.45,15/03/2018 00:00
98659,25.0,OPEN,1521067858000,30,4,26,0,14/03/2018 22:50:58,1521072000000.0,0.78,8.45,15/03/2018 00:00
98660,51.0,OPEN,1521067854000,40,0,40,0,14/03/2018 22:50:54,1521072000000.0,0.78,8.45,15/03/2018 00:00
98661,37.0,OPEN,1521067721000,30,0,30,1,14/03/2018 22:48:41,1521072000000.0,0.78,8.45,15/03/2018 00:00
98662,59.0,OPEN,1521067451000,20,20,0,0,14/03/2018 22:44:11,1521072000000.0,0.78,8.45,15/03/2018 00:00
98663,95.0,OPEN,1521067740000,40,37,3,1,14/03/2018 22:49:00,1521072000000.0,0.78,8.45,15/03/2018 00:00
98664,94.0,OPEN,1521067489000,40,40,0,0,14/03/2018 22:44:49,1521072000000.0,0.78,8.45,15/03/2018 00:00
98665,36.0,OPEN,1521067375000,40,0,40,1,14/03/2018 22:42:55,1521072000000.0,0.78,8.45,15/03/2018 00:00
98666,93.0,OPEN,1521067815000,40,40,0,0,14/03/2018 22:50:15,1521072000000.0,0.78,8.45,15/03/2018 00:00
98667,22.0,OPEN,1521067669000,20,8,12,0,14/03/2018 22:47:49,1521072000000.0,0.78,8.45,15/03/2018 00:00
98668,12.0,OPEN,1521067616000,20,15,5,0,14/03/2018 22:46:56,1521072000000.0,0.78,8.45,15/03/2018 00:00
98669,34.0,OPEN,1521067678000,30,26,4,0,14/03/2018 22:47:58,1521072000000.0,0.78,8.45,15/03/2018 00:00
98670,78.0,OPEN,1521067613000,40,36,4,0,14/03/2018 22:46:53,1521072000000.0,0.78,8.45,15/03/2018 00:00
98671,2.0,OPEN,1521067928000,20,19,1,1,14/03/2018 22:52:08,1521072000000.0,0.78,8.45,15/03/2018 00:00
98672,75.0,OPEN,1521067527000,40,30,10,1,14/03/2018 22:45:27,1521072000000.0,0.78,8.45,15/03/2018 00:00
98673,26.0,OPEN,1521067839000,20,4,16,1,14/03/2018 22:50:39,1521072000000.0,0.78,8.45,15/03/2018 00:00
98674,65.0,OPEN,1521067479000,40,0,40,1,14/03/2018 22:44:39,1521072000000.0,0.78,8.45,15/03/2018 00:00
98675,15.0,OPEN,1521067676000,16,13,3,0,14/03/2018 22:47:56,1521072000000.0,0.78,8.45,15/03/2018 00:00
98676,86.0,OPEN,1521067789000,38,27,11,1,14/03/2018 22:49:49,1521072000000.0,0.78,8.45,15/03/2018 00:00
98677,35.0,OPEN,1521067654000,30,14,16,0,14/03/2018 22:47:34,1521072000000.0,0.78,8.45,15/03/2018 00:00
98678,10.0,OPEN,1521067548000,16,11,5,1,14/03/2018 22:45:48,1521072000000.0,0.78,8.45,15/03/2018 00:00
98679,100.0,OPEN,1521067858000,25,16,9,0,14/03/2018 22:50:58,1521072000000.0,0.78,8.45,15/03/2018 00:00
98680,24.0,OPEN,1521067802000,20,17,3,0,14/03/2018 22:50:02,1521072000000.0,0.78,8.45,15/03/2018 00:00
98681,64.0,CLOSED,1521067549000,40,0,0,1,14/03/2018 22:45:49,1521072000000.0,0.78,8.45,15/03/2018 00:00
98682,85.0,OPEN,1521067661000,35,32,3,1,14/03/2018 22:47:41,1521072000000.0,0.78,8.45,15/03/2018 00:00
98683,33.0,OPEN,1521067409000,23,0,23,1,14/03/2018 22:43:29,1521072000000.0,0.78,8.45,15/03/2018 00:00
98684,44.0,OPEN,1521067816000,30,28,2,0,14/03/2018 22:50:16,1521072000000.0,0.78,8.45,15/03/2018 00:00
98685,89.0,CLOSED,1521067802000,40,0,0,1,14/03/2018 22:50:02,1521072000000.0,0.78,8.45,15/03/2018 00:00
98686,57.0,OPEN,1521067557000,23,5,18,0,14/03/2018 22:45:57,1521072000000.0,0.78,8.45,15/03/2018 00:00
98687,80.0,OPEN,1521067921000,40,38,2,0,14/03/2018 22:52:01,1521072000000.0,0.78,8.45,15/03/2018 00:00
98688,41.0,OPEN,1521067527000,20,15,5,0,14/03/2018 22:45:27,1521072000000.0,0.78,8.45,15/03/2018 00:00
98689,3.0,OPEN,1521067877000,20,18,2,0,14/03/2018 22:51:17,1521072000000.0,0.78,8.45,15/03/2018 00:00
98690,46.0,OPEN,1521067692000,35,2,33,1,14/03/2018 22:48:12,1521072000000.0,0.78,8.45,15/03/2018 00:00
98691,40.0,OPEN,1521067451000,21,0,21,1,14/03/2018 22:44:11,1521072000000.0,0.78,8.45,15/03/2018 00:00
98692,29.0,OPEN,1521067628000,29,12,17,1,14/03/2018 22:47:08,1521072000000.0,0.78,8.45,15/03/2018 00:00
98693,70.0,OPEN,1521067686000,40,10,30,1,14/03/2018 22:48:06,1521072000000.0,0.78,8.45,15/03/2018 00:00
98694,28.0,OPEN,1521067786000,30,30,0,0,14/03/2018 22:49:46,1521072000000.0,0.78,8.45,15/03/2018 00:00
98695,39.0,OPEN,1521067541000,20,5,15,1,14/03/2018 22:45:41,1521072000000.0,0.78,8.45,15/03/2018 00:00
98696,83.0,OPEN,1521067419000,40,30,10,0,14/03/2018 22:43:39,1521072000000.0,0.78,8.45,15/03/2018 00:00
98697,92.0,OPEN,1521067418000,40,32,8,0,14/03/2018 22:43:38,1521072000000.0,0.78,8.45,15/03/2018 00:00
98698,21.0,OPEN,1521067870000,30,6,24,0,14/03/2018 22:51:10,1521072000000.0,0.78,8.45,15/03/2018 00:00
98699,88.0,OPEN,1521067899000,30,20,10,0,14/03/2018 22:51:39,1521072000000.0,0.78,8.45,15/03/2018 00:00
98700,42.0,OPEN,1521068006000,30,9,21,1,14/03/2018 22:53:26,1521072000000.0,0.78,8.45,15/03/2018 00:00
98702,54.0,OPEN,1521068253000,33,2,31,0,14/03/2018 22:57:33,1521072000000.0,0.78,8.45,15/03/2018 00:00
98704,6.0,OPEN,1521068134000,20,5,15,0,14/03/2018 22:55:34,1521072000000.0,0.78,8.45,15/03/2018 00:00
98705,18.0,OPEN,1521067996000,30,7,23,1,14/03/2018 22:53:16,1521072000000.0,0.78,8.45,15/03/2018 00:00
98706,32.0,OPEN,1521068121000,30,1,29,1,14/03/2018 22:55:21,1521072000000.0,0.78,8.45,15/03/2018 00:00
98707,52.0,OPEN,1521068244000,32,4,28,0,14/03/2018 22:57:24,1521072000000.0,0.78,8.45,15/03/2018 00:00
98709,13.0,OPEN,1521067993000,30,0,30,0,14/03/2018 22:53:13,1521072000000.0,0.78,8.45,15/03/2018 00:00
98710,43.0,OPEN,1521068243000,30,20,10,1,14/03/2018 22:57:23,1521072000000.0,0.78,8.45,15/03/2018 00:00
98712,31.0,OPEN,1521068114000,20,5,15,0,14/03/2018 22:55:14,1521072000000.0,0.78,8.45,15/03/2018 00:00
98713,98.0,OPEN,1521068055000,30,1,29,1,14/03/2018 22:54:15,1521072000000.0,0.78,8.45,15/03/2018 00:00
98714,14.0,OPEN,1521068242000,30,9,21,0,14/03/2018 22:57:22,1521072000000.0,0.78,8.45,15/03/2018 00:00
98715,1.0,OPEN,1521068019000,31,7,24,0,14/03/2018 22:53:39,1521072000000.0,0.78,8.45,15/03/2018 00:00
98716,23.0,OPEN,1521068238000,30,4,26,1,14/03/2018 22:57:18,1521072000000.0,0.78,8.45,15/03/2018 00:00
98717,68.0,OPEN,1521068198000,40,3,37,1,14/03/2018 22:56:38,1521072000000.0,0.78,8.45,15/03/2018 00:00
98718,74.0,OPEN,1521067994000,30,24,6,0,14/03/2018 22:53:14,1521072000000.0,0.78,8.45,15/03/2018 00:00
98719,87.0,OPEN,1521068251000,38,18,20,1,14/03/2018 22:57:31,1521072000000.0,0.78,8.45,15/03/2018 00:00
98722,11.0,OPEN,1521067994000,30,0,30,0,14/03/2018 22:53:14,1521072000000.0,0.78,8.45,15/03/2018 00:00
