STATION_NUMBER,TIME,STATUS,NUMBER_OF_BIKES,NUMBER_OF_STANDS,NUMBER_OF_SPACES
1,1522869876000,OPEN,0,31,31
1,1522869876000,OPEN,0,31,31
1,1522870667000,OPEN,0,31,31
1,1522870667000,OPEN,0,31,31
1,1522871276000,OPEN,0,31,31
1,1522871276000,OPEN,0,31,31
1,1522871885000,OPEN,0,31,31
1,1522871885000,OPEN,0,31,31
1,1522872494000,OPEN,0,31,31
1,1522872494000,OPEN,0,31,31
1,1522873103000,OPEN,0,31,31
1,1522873103000,OPEN,0,31,31
1,1522873712000,OPEN,0,31,31
1,1522874074000,OPEN,4,31,27
1,1522874361000,OPEN,18,31,13
1,1522874655000,OPEN,19,31,12
1,1522874930000,OPEN,18,31,13
1,1522874930000,OPEN,18,31,13
1,1522875571000,OPEN,15,31,16
1,1522875862000,OPEN,15,31,16
1,1522876169000,OPEN,14,31,17
1,1522876202000,OPEN,13,31,18
1,1522876630000,OPEN,12,31,19
1,1522876630000,OPEN,12,31,19
1,1522877240000,OPEN,11,31,20
1,1522877240000,OPEN,11,31,20
1,1522877848000,OPEN,11,31,20
1,1522878217000,OPEN,10,31,21
1,1522878554000,OPEN,9,31,22
1,1522878585000,OPEN,9,31,22
1,1522879145000,OPEN,8,31,23
1,1522879465000,OPEN,8,31,23
1,1522879576000,OPEN,6,31,25
1,1522879883000,OPEN,5,31,26
1,1522880344000,OPEN,4,31,27
1,1522880344000,OPEN,4,31,27
1,1522880722000,OPEN,3,31,28
1,1522880722000,OPEN,3,31,28
1,1522881332000,OPEN,2,31,29
1,1522881332000,OPEN,2,31,29
1,1522881940000,OPEN,2,31,29
1,1522882467000,OPEN,1,31,30
1,1522882503000,OPEN,0,31,31
1,1522882503000,OPEN,0,31,31
1,1522883112000,OPEN,0,31,31
1,1522883112000,OPEN,0,31,31
1,1522883721000,OPEN,0,31,31
1,1522883721000,OPEN,0,31,31
1,1522884330000,OPEN,0,31,31
1,1522884766000,OPEN,0,31,31
1,1522884766000,OPEN,0,31,31
1,1522885375000,OPEN,0,31,31
1,1522885375000,OPEN,0,31,31
1,1522885985000,OPEN,0,31,31
1,1522885985000,OPEN,0,31,31
1,1522886595000,OPEN,0,31,31
1,1522886595000,OPEN,0,31,31
1,1522887203000,OPEN,0,31,31
1,1522887203000,OPEN,0,31,31
1,1522887813000,OPEN,0,31,31
1,1522887813000,OPEN,0,31,31
1,1522888422000,OPEN,0,31,31
1,1522888422000,OPEN,0,31,31
1,1522889031000,OPEN,0,31,31
1,1522889031000,OPEN,0,31,31
1,1522889640000,OPEN,0,31,31
1,1522889640000,OPEN,0,31,31
1,1522890249000,OPEN,0,31,31
1,1522890249000,OPEN,0,31,31
1,1522890858000,OPEN,0,31,31
1,1522890858000,OPEN,0,31,31
1,1522891468000,OPEN,0,31,31
1,1522891468000,OPEN,0,31,31
1,1522892055000,OPEN,0,31,31
1,1522892246000,OPEN,0,31,31
1,1522892246000,OPEN,0,31,31
1,1522892855000,OPEN,0,31,31
1,1522892855000,OPEN,0,31,31
1,1522893465000,OPEN,0,31,31
1,1522893465000,OPEN,0,31,31
1,1522894074000,OPEN,0,31,31
1,1522894074000,OPEN,0,31,31
1,1522894684000,OPEN,0,31,31
1,1522894684000,OPEN,0,31,31
1,1522895292000,OPEN,0,31,31
1,1522895292000,OPEN,0,31,31
1,1522895901000,OPEN,0,31,31
1,1522895901000,OPEN,0,31,31
1,1522896510000,OPEN,0,31,31
1,1522896510000,OPEN,0,31,31
1,1522897119000,OPEN,0,31,31
1,1522897119000,OPEN,0,31,31
1,1522897728000,OPEN,0,31,31
1,1522897728000,OPEN,0,31,31
1,1522898337000,OPEN,0,31,31
1,1522898337000,OPEN,0,31,31
1,1522898946000,OPEN,0,31,31
1,1522898946000,OPEN,0,31,31
1,1522899556000,OPEN,0,31,31
1,1522899556000,OPEN,0,31,31
1,1522900165000,OPEN,0,31,31
1,1522900165000,OPEN,0,31,31
1,1522900774000,OPEN,0,31,31
1,1522900847000,OPEN,0,31,31
1,1522900847000,OPEN,0,31,31
1,1522901456000,OPEN,0,31,31
1,1522901456000,OPEN,0,31,31
1,1522902064000,OPEN,0,31,31
1,1522902064000,OPEN,0,31,31
1,1522902673000,OPEN,0,31,31
1,1522903136000,OPEN,1,31,30
1,1522903136000,OPEN,1,31,30
1,1522903746000,OPEN,1,31,30
1,1522903746000,OPEN,1,31,30
1,1522904355000,OPEN,1,31,30
1,1522904355000,OPEN,1,31,30
1,1522904964000,OPEN,1,31,30
1,1522904964000,OPEN,1,31,30
1,1522905572000,OPEN,1,31,30
1,1522905673000,OPEN,2,31,29
1,1522905673000,OPEN,2,31,29
1,1522906372000,OPEN,3,31,28
1,1522906372000,OPEN,3,31,28
1,1522906981000,OPEN,3,31,28
1,1522907376000,OPEN,4,31,27
1,1522907664000,OPEN,7,31,24
