temperature,rain,time
8.04,0.005,14/03/2018 00:00
7.72,0.105,14/03/2018 03:00
7.65,0.26,14/03/2018 06:00
7.95,0.235,14/03/2018 09:00
8.1,0.475,14/03/2018 12:00
8.2,1.14,14/03/2018 15:00
8.04,1.155,14/03/2018 18:00
8.45,1.625,14/03/2018 21:00
8.32,1.73,15/03/2018 00:00
8.09,3.175,15/03/2018 03:00
8.11,3.86,15/03/2018 06:00
8.16,0.14,15/03/2018 09:00
8.13,0.11,15/03/2018 12:00
8.29,0.015,15/03/2018 15:00
8.42,0.015,15/03/2018 18:00
7.85,0.005,15/03/2018 21:00
7.55,0.755,16/03/2018 00:00
7.13,0.18,16/03/2018 03:00
5.92,0,16/03/2018 06:00
6.89,0.0425,16/03/2018 09:00
8.63,0.0375,16/03/2018 12:00
9.48,0,16/03/2018 15:00
7.9,0.0025,16/03/2018 18:00
5.71,0.43,16/03/2018 21:00
6.73,1.425,17/03/2018 00:00
4.86,0.16,17/03/2018 03:00
3.22,0.16,17/03/2018 06:00
2.55,0.215,17/03/2018 09:00
2.0,0.0125,17/03/2018 12:00
2.47,0,17/03/2018 15:00
1.22,0,17/03/2018 18:00
0.03,0.025,17/03/2018 21:00
0.5,0.185,18/03/2018 00:00
-0.22,0.3,18/03/2018 03:00
-0.1,0.29,18/03/2018 06:00
-0.09,0.0125,18/03/2018 09:00
0.23,0.21,18/03/2018 12:00
1.1,0.1025,18/03/2018 15:00
1.98,0,18/03/2018 18:00
1.19,0,18/03/2018 21:00
1.21,0,19/03/2018 00:00
1.41,0,19/03/2018 03:00
1.6,0,19/03/2018 06:00
2.63,0,19/03/2018 09:00
3.9,0,19/03/2018 12:00
5.7,0,19/03/2018 15:00
5.3,0,19/03/2018 18:00
2.99,0,19/03/2018 21:00
1.71,0,20/03/2018 00:00
-0.15,0,20/03/2018 03:00
-1.95,0,20/03/2018 06:00
0.82,0,20/03/2018 09:00
5.9,0,20/03/2018 12:00
8.51,0,20/03/2018 15:00
7.95,0,20/03/2018 18:00
1.57,0,20/03/2018 21:00
-0.19,0,21/03/2018 00:00
0.39,0,21/03/2018 03:00
0.34,0,21/03/2018 06:00
3.79,0,21/03/2018 09:00
8.69,0,21/03/2018 12:00
10.22,0.005,21/03/2018 15:00
9.13,0.005,21/03/2018 18:00
7.57,0,21/03/2018 21:00
5.75,0,22/03/2018 00:00
4.82,0,22/03/2018 03:00
